,name,regarded,smiles,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,LE,outcome,percent_hybrid
0,x1498_0A§1-x1537_0A§1,"['x1498_0A§1', 'x1537_0A§1']",[H]Oc1c([H])c([H])c([H])c([H])c1C([H])([H])[H],-6.110973705308418,-6.105760207167074,0.0052134981413443394,0.39905061149534893,8,0,23.096302032470703,-0.7638717131635523,acceptable,13.0
1,x1498_1B§1-x1537_0A§1,"['x1498_1B§1', 'x1537_0A§1']",[H]Oc1c([H])c([H])c([H])c([H])c1C([H])([H])[H],-6.040487084911735,-6.035273586770391,0.0052134981413443394,0.3856678772378315,8,0,27.588485956192017,-0.7550608856139669,acceptable,13.0
2,x1498_0B§1-x1537_0A§1,"['x1498_0B§1', 'x1537_0A§1']",[H]Oc1c([H])c([H])c([H])c([H])c1C([H])([H])[H],-5.899531783468075,-5.894398021140352,0.005133762327722686,0.4034914407597156,8,0,19.00027894973755,-0.7374414729335094,acceptable,13.0
3,x0980_0B§1-x0771_1A§1,"['x0980_0B§1', 'x0771_1A§1']",[H]c1nc2c(c(C(=O)N([H])c3c([H])c(F)c([H])c([H])c3C([H])([H])[H])c1[H])C([H])([H])C([H])([H])C1=C(C2([H])[H])C([H])([H])C([H])([H])N1[H],-4.879827142656524,-4.180636064606642,0.6991910780498825,0.7769522169140513,25,0,60.466325759887695,-0.19519308570626095,acceptable,32.0
4,x0980_0B§1-x0771_0A§1,"['x0980_0B§1', 'x0771_0A§1']",[H]c1nc2c(c(C(=O)N([H])c3c([H])c(F)c([H])c([H])c3C([H])([H])[H])c1[H])C([H])([H])C([H])([H])C1=C(C2([H])[H])C([H])([H])C([H])([H])N1[H],-4.879827142656524,-4.180636064606642,0.6991910780498825,0.7769522169140513,25,0,63.054359912872314,-0.19519308570626095,acceptable,32.0
5,x1083_0A§1-x1247_0A§1,"['x1083_0A§1', 'x1247_0A§1']",[H]O[C@]1([H])C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])[H])C([H])([H])[C@@]1(O[H])N([H])c1nc(C([H])([H])[H])c([H])c([H])c1[H],-4.714587756381998,-1.641797292067047,3.072790464314951,0.4248675805110356,20,0,29.549354076385498,-0.23572938781909988,acceptable,45.0
6,x0789_0A§1-x1537_0A§1,"['x0789_0A§1', 'x1537_0A§1']",[H]N(C(=O)[C@@]1([H])OC([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H])c1snnc1C([H])([H])[H],-4.662193591655228,-4.389937717466487,0.27225587418874114,0.2519141571946002,15,0,14.106451034545898,-0.31081290611034856,acceptable,7.0
7,x1498_0B§1-x0789_0A§1,"['x1498_0B§1', 'x0789_0A§1']",[H]Oc1nc([H])c(C(=O)[C@@]2([H])OC([H])([H])C([H])([H])[C@@]2([H])C([H])([H])[H])c([H])c1[H],-4.612310098012177,-4.119929331491617,0.49238076652055934,0.5757894844623349,15,0,19.12485384941101,-0.30748733986747845,acceptable,47.0
8,x1498_1B§1-x0789_0A§1,"['x1498_1B§1', 'x0789_0A§1']",[H]Oc1nc([H])c(C(=O)[C@@]2([H])OC([H])([H])C([H])([H])[C@@]2([H])C([H])([H])[H])c([H])c1[H],-4.391448529003081,-4.186494908785737,0.20495362021734378,0.5782329420096985,15,0,24.430357456207275,-0.29276323526687204,acceptable,47.0
9,x1498_0A§1-x0789_0A§1,"['x1498_0A§1', 'x0789_0A§1']",[H]Oc1nc([H])c(C(=O)[C@@]2([H])OC([H])([H])C([H])([H])[C@@]2([H])C([H])([H])[H])c([H])c1[H],-4.3662967761988725,-4.161343155981529,0.20495362021734378,0.5774746239011718,15,0,25.75451111793518,-0.2910864517465915,acceptable,47.0
