,name,regarded,smiles,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,LE,outcome,percent_hybrid
26,PV-002728699284-x1498-0A-1-x1537-0A-1,"['x1498', '0A', '1', 'x1537', '0A', '1']",COC1=C(C)C(C)=CC=C1,-6.903854223804331,-7.102489177679836,-0.19863495387550456,1.0014380149528983,8.0,2.0,26.961160898208618,0.6903854223804331,acceptable,34.0
27,Z1741969101-x1498-0A-1-x1537-0A-1,"['x1498', '0A', '1', 'x1537', '0A', '1']",COC1=CC=CC(Br)=C1C,-6.671298904479783,-6.832249773245283,-0.16095086876550035,0.9988733764750609,8.0,2.0,31.955682277679443,0.6671298904479783,acceptable,34.0
25,PV-007110964219-x1498-0A-1-x1537-0A-1,"['x1498', '0A', '1', 'x1537', '0A', '1']",C=CC1=CC=CC(O)=C1C,-6.601825721164908,-6.589538946345745,0.012286774819163068,0.6836310857003189,8.0,2.0,23.085205078125,0.6601825721164908,acceptable,34.0
29,PV-002894222723-x1498-0A-1-x1537-0A-1,"['x1498', '0A', '1', 'x1537', '0A', '1']",COC1=CC=CC(F)=C1C,-6.403758729009802,-6.551850960450372,-0.14809223144056985,1.011129961127243,8.0,2.0,28.7076096534729,0.6403758729009802,acceptable,34.0
145,PV-002837091246-x1594-0A-1-x1604-0A-1,"['x1594', '0A', '1', 'x1604', '0A', '1']",CC1=NN=C(CN(CC(=O)O)C(C)C)N1C,-6.199762717529604,-4.768896958556014,1.4308657589735905,0.8987849019739775,17.0,2.0,21.04100465774536,0.3263033009226108,acceptable,23.0
202,Z2270488223-x0789-0A-1-x1537-0A-1,"['x0789', '0A', '1', 'x1537', '0A', '1']",CC1=C(NC(=O)[C@H]2OCC[C@H]2C)SC=N1,-5.647899360745048,-5.455276869617165,0.19262249112788266,0.3969268285766756,15.0,0.0,24.00976824760437,0.37652662404966986,acceptable,10.0
81,PV-003615179414-x0980-0B-1-x1594-0A-1,"['x0980', '0B', '1', 'x1594', '0A', '1']",CC1=CC=C(F)C=C1C2=CC=C3NC=C(N)C3=C2,-5.539876450207363,-5.989668932243201,-0.4497924820358371,1.3927512216442244,19.0,1.0,22.652222871780396,0.2769938225103682,acceptable,19.0
20,PV-002760482883-x1498-0A-1-x1537-0A-1,"['x1498', '0A', '1', 'x1537', '0A', '1']",COC1=CC=CC=C1C,-5.406064209949096,-5.586655483522614,-0.18059127357351784,1.1500458550045154,8.0,1.0,27.848204135894775,0.6006738011054551,acceptable,34.0
158,Z3513372361-x1594-0A-1-x0789-0A-1,"['x1594', '0A', '1', 'x0789', '0A', '1']",CCC1=CSC(=O)N1CCC2OCCC2C,-5.35543037923257,-5.0328598711411825,0.32257050809138765,1.888878887267523,14.0,5.0,27.347713470458984,0.2818647568017142,acceptable,45.0
28,PV-002857625774-x1498-0A-1-x1537-0A-1,"['x1498', '0A', '1', 'x1537', '0A', '1']",COC1=CC=CC(Cl)=C1C,-5.3416553178012425,-5.497130174335,-0.15547485653375753,1.1533197568787823,8.0,2.0,29.15867304801941,0.5341655317801243,acceptable,34.0
203,Z3856664556-x0789-0A-1-x1537-0A-1,"['x0789', '0A', '1', 'x1537', '0A', '1']",CC1=C(NC(=O)[C@H]2OCC[C@H]2C)SN=C1,-5.10094934621261,-4.871557338565167,0.22939200764744216,0.48434519026157796,15.0,0.0,27.48797583580017,0.3400632897475073,acceptable,10.0
