,name,regarded,smiles,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,LE,outcome,catalogue_name,percent_hybrid
15351,x1083L0AP1-x1604hydroxylS4-1368,"['x1083L0AP1', 'x1604hydroxylS4']",CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCC(O)CC1,-11.520050098270078,-10.431007480509205,1.089042617760873,0.47678580303398604,16.0,10.0,92.23357033729553,-0.4430788499334645,acceptable,ENAMINE:Z2765550894,38.0
13270,x1083L0AP1-x1604aminoS4-1995,"['x1083L0AP1', 'x1604aminoS4']",CC(COC(C)(C)C)NC(=O)N1CCC(Oc2ccccc2)CC1,-10.681234412366958,-10.428551357705008,0.2526830546619503,0.34535152417712733,10.0,14.0,94.15544152259827,-0.4450514338486233,acceptable,ENAMINE:Z3139983224,0.0
16458,x1083L0AP1-x1604hydroxylS4-2475,"['x1083L0AP1', 'x1604hydroxylS4']",COCC(C)(NC(=O)CCN1CCC(O)CC1)c1ccccc1,-10.585904411480765,-9.793769389023094,0.7921350224576709,0.8000481606359096,17.0,8.0,98.83610081672668,-0.4234361764592306,acceptable,ENAMINE:Z4289261485,36.0
11588,x1083L0AP1-x1604aminoS4-313,"['x1083L0AP1', 'x1604aminoS4']",COCCCCCNC(=O)N1CCC(Oc2ccccc2)CC1,-10.562420313592282,-9.997453960352901,0.5649663532393807,0.294621701197779,10.0,13.0,73.20980191230774,-0.4592356658083601,acceptable,ENAMINE:Z940849636,0.0
14463,x1083L0AP1-x1604hydroxylS4-480,"['x1083L0AP1', 'x1604hydroxylS4']",CSCCC(NC(=O)Cc1ccccc1)C(=O)N1CCC(O)CC1,-10.550834050795054,-9.108119732125969,1.4427143186690836,0.7249882763775757,16.0,8.0,103.99669766426086,-0.4396180854497939,acceptable,ENAMINE:Z1185297737,38.0
16268,x1083L0AP1-x1604hydroxylS4-2285,"['x1083L0AP1', 'x1604hydroxylS4']",CN(CCNC(C)(C)C(=O)N1CCC(O)CC1)c1ccccc1,-10.398916479932549,-10.125227869911644,0.2736886100209055,0.5660735607714605,16.0,7.0,103.89882636070251,-0.4521268034753282,acceptable,ENAMINE:Z1384226775,38.0
14373,x1083L0AP1-x1604hydroxylS4-390,"['x1083L0AP1', 'x1604hydroxylS4']",CC(C)(COCc1ccccc1)C(=O)NN1CCC(O)CC1,-10.376595352456068,-8.76796446966805,1.6086308827880182,0.4056091305347031,16.0,7.0,63.17411994934082,-0.4511563196720029,acceptable,MOLPORT:046-139-720,38.0
8880,x1083L0AP1-x1604baseS3-313,"['x1083L0AP1', 'x1604baseS3']",COCCCCCNC(=O)N1CCC(Oc2ccccc2)CC1,-10.247441661520257,-9.649151703077544,0.5982899584427124,0.337720706871183,10.0,13.0,88.88728952407837,-0.4455409418052286,acceptable,ENAMINE:Z940849636,0.0
14454,x1083L0AP1-x1604hydroxylS4-471,"['x1083L0AP1', 'x1604hydroxylS4']",CC(C)(C)OC(=O)N(CCC(=O)N1CCC(O)CC1)Cc1ccccc1,-10.125326208025278,-9.588233958226484,0.537092249798795,0.7109596310470506,16.0,10.0,97.73984861373901,-0.3894356233855876,acceptable,CHEMSPACE-BB:CSMB00113940047,38.0
6591,x1083L0AP1-x0771benzoS1-732,"['x1083L0AP1', 'x0771benzoS1']",CC(CNC(C)(C)C(=O)N1CCC(O)CC1)c1ccccc1,-10.031981820316107,-10.489875433944626,-0.45789361362851866,0.7970741671213191,17.0,6.0,112.87731623649597,-0.4361731226224394,acceptable,ENAMINE:Z1220677481,36.0
8445,x1083L0AP1-x0771benzoS1-2586,"['x1083L0AP1', 'x0771benzoS1']",COC(=O)CCCCC(=O)N1CCC(Oc2ccccc2)CC1,-10.00114637963445,-9.463411090075628,0.5377352895588221,0.6720773444767255,12.0,13.0,101.77703380584717,-0.400045855185378,acceptable,ENAMINE:Z1753435685,17.0
5625,x1083L0AP1-x0980L0BP1S11-285,"['x1083L0AP1', 'x0980L0BP1S11']",CN(CC(=O)N1CCC(O)CC1)C(=O)CNC(=O)c1ccncc1,-9.999900186722478,-8.813028286398694,1.1868719003237842,0.5780711070864947,16.0,8.0,84.14619898796082,-0.4166625077801032,acceptable,ENAMINE:Z1712821262,38.0
