SMILES,design_notes,Catalog ID,designer_institution,design_rationale,design_submission_source_link,designer_name
BrC1=CC=CN=C1,Fragment libraries: CovHetFrags,Z104472812,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC1=CC=NC=C1,Fragment libraries: CovHetFrags,Z1954801659,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC1=CC=NN1,Fragment libraries: CovHetFrags,Z3222424806,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC1=CN=CN=C1,Fragment libraries: CovHetFrags,Z285136922,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC1=CN=CS1,Fragment libraries: CovHetFrags,Z1255356896,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC1=CNC=N1,Fragment libraries: CovHetFrags,Z1213725191,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC1=NC=2C=CC=CC2S1,Fragment libraries: CovHetFrags,Z415645026,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC1=NC=C(O1)C2=CC=CC=C2,Fragment libraries: CovHetFrags,Z1269186154,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC1=NC=CC=N1,Fragment libraries: CovHetFrags,Z415645012,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC1=NC=CN1,Fragment libraries: CovHetFrags,Z1203730981,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC1=NC=CS1,Fragment libraries: CovHetFrags,Z104495356,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC=1C=CC(=CC1)C=2C=CON2,Fragment libraries: SpotXplorer,Z1269138602,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC=1C=CC=CN1,Fragment libraries: CovHetFrags,Z57160165,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC=1C=NC=CN1,Fragment libraries: CovHetFrags,Z415645016,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
BrC=1C=NNC1,Fragment libraries: CovHetFrags,Z275169750,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
Brc(cc1)ccc1-c1c[nH]nc1,Fragment libraries: Euopen,EN300-155627,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
Brc1ccc(nc1)C2(CC2)C#N,Fragment libraries: DSiPoised,Z1269119217,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC1=CC=CN=C1,Fragment libraries: CovHetFrags,Z1080385472,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC1=CC=NC=C1,Fragment libraries: CovHetFrags,Z1143360480,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC1=CC=NN1,Fragment libraries: CovHetFrags,Z1255404462,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC1=CN=CN=C1,Fragment libraries: CovHetFrags,Z1080385536,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC1=CN=CS1,Fragment libraries: CovHetFrags,Z1255467699,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC1=NC=CC=N1,Fragment libraries: CovHetFrags,Z1198278448,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC1=NC=CS1,Fragment libraries: CovHetFrags,Z1255400696,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC=1C=CC=2N=CC=NC2C1,Fragment libraries: Leed3D,Z1080386012,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC=1C=CC=C2C=CN=CC12,Fragment libraries: Leed3D,Z1404709327,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC=1C=CC=C2N=CC=CC12,Fragment libraries: Leed3D,Z1069296356,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC=1C=CC=CN1,Fragment libraries: CovHetFrags,Z1143356368,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC=1C=NC=CN1,Fragment libraries: CovHetFrags,Z1183458138,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CC=1C=NNC1,Fragment libraries: CovHetFrags,Z1255430330,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CCC(C)(C(OC)=O)N(CC=C)C(OC(C)(C)C)=O,Fragment libraries: Cambridge3D,NMS_138_1,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CCC(C)(C(OC)=O)N1C=CC=C1,Fragment libraries: Cambridge3D,NM270-1,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CCC1(NCC(OC1)=O)C,Fragment libraries: Cambridge3D,SK147,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CCN1C=CC=N1,Fragment libraries: CovHetFrags,Z804946014,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CCN1C=CN=C1,Fragment libraries: CovHetFrags,Z57842667,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#CCn1ccnc1CN2CCOCC2,Fragment libraries: DSiPoised,Z1509560852,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C#Cc1ccc2OCOc2c1,Fragment libraries: DSiPoised,Z1080385904,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
