fragment_XChem-code,fragment_method-name,fragment_notes,fragment_method-keywords,fragment_submitter_institution,fragment_method-date,SMILES
x1592,XChem initial screen,SpotXplorer,screen,DLS XChem,01-01-2001,OC=1C=CC=CC1C(=O)NC2CC2
x1071,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,CS(=O)(=O)NCC(=O)N1CCCCC1
x1679,XChem initial screen,CovHetFrags,screen,DLS XChem,01-01-2001,BrC1=CC=NN1
x1556,XChem initial screen,CovHetFrags,screen,DLS XChem,01-01-2001,N#CC1=CNC=N1
x0765,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,Cn1ccnc1c2noc(n2)C3CCC3
x1020,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,CCC(=O)Nc1ccc(C)cc1O
x0153,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,CCn1ccc(CNC)n1
x1300,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,CCOC(=O)c1cn[nH]c1
x1454,XChem initial screen,unknown,screen,DLS XChem,01-01-2001,BrC1=CN(CCOC)N=C1
x1262,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,CN(C)C(=O)COc1ccc(N)c(F)c1
x1332,XChem initial screen,York3D,screen,DLS XChem,01-01-2001,O=C([C@@H]1[C@@H](C2=CC=CC=C2)CN(C(C)=O)C1)O
x1094,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,Cc1ccc(CNC(=O)C2CCC2)cn1
x1184,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,OC(=O)COc1ccc(F)cc1
x1068,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,Cc1ccccc1n2cc(nn2)C(=O)O
x1108,XChem initial screen,Leed3D,screen,DLS XChem,01-01-2001,O=C(Nc1ccccc1)N2CCCC2
x0228,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,O=C(N1CCCC1)c2cn[nH]c2
x1498,XChem initial screen,unknown,screen,DLS XChem,01-01-2001,OC=1C=CC=CN1
x1083,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,CS(=O)(=O)N1CCC(O)CC1
x0818,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,CN(C)C(=O)COc1cccc(F)c1
x0708,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,CC1OCCN(C1C)c2nc(C)ns2
x1565,XChem initial screen,SpotXplorer,screen,DLS XChem,01-01-2001,NC=1C=CC(SC(F)F)=CC1
x0117,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,O=S(=O)(NC1CCCC1)C2CCOCC2
x1457,XChem initial screen,unknown,screen,DLS XChem,01-01-2001,CC(=O)NCC(=O)NCC#CBr
x1084,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,CS(=O)(=O)Nc1ccc(CN)cc1
x0170,XChem initial screen,Leed3D,screen,DLS XChem,01-01-2001,N#Cc1cncc2OCCNc12
x1135,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,CCS(=O)(=O)N1CCC(CC1)C(=O)O
x0712,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,O=C(NC1CCCNC1)c2ccccc2
x1261,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,CS(=O)(=O)CC(O)c1ccccc1
x1085,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,Cc1nc(no1)c2ccc(N)cc2
x1133,XChem initial screen,DSiPoised,screen,DLS XChem,01-01-2001,Cc1nc2ccccc2n1CCC(=O)N
x0232,XChem initial screen,Leed3D,screen,DLS XChem,01-01-2001,NS(=O)(=O)c1ccc2ncsc2c1
