,name,smiles,error,mode,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,LE,hit_names,percent_hybrid,outcome,simple_smiles
3105,x2099_0A-D68EV3CPROA-x1052_1AS3,[H]c1nc([H])c(-c2[nH]c3c([H])c(OC([H])([H])c4c([H])noc4C([H])([H])[H])c([H])c([H])c3c(=O)c2[H])c([H])c1[H],,none_permissive,-8.011203527914013,-8.074945266799686,-0.06374173888567315,0.6810009564846382,23.0,2.0,146.2357988357544,"['x2099_0A', 'D68EV3CPROA-x1052_1AS3']",[],0.3204481411165605,"['x2099_0A', 'D68EV3CPROA-x1052_1AS3']",27.0,acceptable,Cc1oncc1COc1ccc2c(=O)cc(-c3cccnc3)[nH]c2c1
20870,x2149_0AS6-D68EV3CPROA-x0789_0AS3,[H]N1C(=O)[C@@]([H])(N([H])C([H])([H])[H])[C@]([H])(OC([H])([H])[C@@]2([H])OC([H])([H])C([H])([H])[C@@]2([H])C([H])([H])[H])C1([H])[H],,none_permissive,-4.967535794874762,-3.681640257735553,1.2858955371392093,0.31025358606099857,14.0,2.0,47.49664759635925,"['x2149_0AS6', 'D68EV3CPROA-x0789_0AS3']",[],0.31047098717967264,"['x2149_0AS6', 'D68EV3CPROA-x0789_0AS3']",43.0,acceptable,CNC1C(=O)NCC1OCC1OCCC1C
15867,x1919_0AS12-D68EV3CPROA-x1020_0A,[H]Oc1c([H])c(C([H])([H])[H])c(Oc2c([H])c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H])c([H])c2[H])c([H])c1N([H])C(=O)C([H])([H])C([H])([H])[H],,none_permissive,-3.8824502858407515,-3.642650430090267,0.23979985575048418,0.349395867339462,30.0,1.0,212.34556245803833,"['x1919_0AS12', 'D68EV3CPROA-x1020_0A']",[],0.12524033180131455,"['x1919_0AS12', 'D68EV3CPROA-x1020_0A']",44.0,acceptable,CCCOCCS(=O)(=O)NCc1ccc(Oc2cc(NC(=O)CC)c(O)cc2C)cc1
5769,x0130_0AS2-D68EV3CPROA-x1020_0A,[H]Oc1c(N([H])C(=O)C([H])([H])C([H])([H])[H])c([H])c2[nH]c([H])c([H])c2c1C([H])([H])[H],,none_permissive,-2.212473745177874,-1.826541704343271,0.3859320408346032,0.6710001970271051,16.0,0.0,31.112741231918335,"['x0130_0AS2', 'D68EV3CPROA-x1020_0A']",[],0.13827960907361714,"['x0130_0AS2', 'D68EV3CPROA-x1020_0A']",44.0,acceptable,CCC(=O)Nc1cc2[nH]ccc2c(C)c1O
15045,x1919_0AS9-D68EV3CPROA-x1247_0A,[H]c1c(N([H])C(=O)N2c3c([H])c([H])c([H])c([H])c3OC2([H])[H])nc(C([H])([H])[H])c([H])c1[H],,none_permissive,-1.4503522692021682,-0.9237167794293537,0.5266354897728145,0.20886927347244555,19.0,0.0,51.83986139297485,"['x1919_0AS9', 'D68EV3CPROA-x1247_0A']",[],0.07633432995800886,"['x1919_0AS9', 'D68EV3CPROA-x1247_0A']",48.0,acceptable,Cc1cccc(NC(=O)N2COc3ccccc32)n1
14388,x1919_0AS7-D68EV3CPROA-x1052_1A,[H]N(C(=O)C1([H])N([H])OS2([H])(C([H])([H])N([H])[H])(C([H])([H])C3=C(OC([H])([H])O3)C([H])([H])C2([H])[H])C1([H])[H])C([H])([H])C(=O)OC([H])([H])[H],,none_permissive,-7.239165263992177,-3.833265120454525,3.4059001435376524,0.7447084118431309,23.0,0.0,124.41894388198853,"['x1919_0AS7', 'D68EV3CPROA-x1052_1A']",[],0.31474631582574686,"['x1919_0AS7', 'D68EV3CPROA-x1052_1A']",48.0,acceptable,COC(=O)CNC(=O)C1C[SH]2(CN)(CCC3=C(C2)OCO3)ON1
9327,x1084_0AS3-D68EV3CPROA-x0980_0BS4,[H]c1nc([H])c(C([H])([H])C([H])([H])N=[S@@](=O)(N([H])[H])C([H])([H])[H])c(C(=O)N([H])[H])c1[H],,none_permissive,-5.6916562589352315,-4.708919714525672,0.9827365444095592,0.49746649105388707,14.0,2.0,105.8505630493164,"['x1084_0AS3', 'D68EV3CPROA-x0980_0BS4']",[],0.35572851618345197,"['x1084_0AS3', 'D68EV3CPROA-x0980_0BS4']",36.0,acceptable,CS(N)(=O)=NCCc1cnccc1C(N)=O
18295,x2021_0AS7-D68EV3CPROA-x1140_0AS5,[H]c1c([H])c([H])c(N(C([H])([H])[H])S(=O)(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c1[H],,none_permissive,-5.956841648717681,-7.203285671305868,-1.2464440225881868,0.5760676719081897,17.0,0.0,91.19685220718384,"['x2021_0AS7', 'D68EV3CPROA-x1140_0AS5']",[],0.3504024499245695,"['x2021_0AS7', 'D68EV3CPROA-x1140_0AS5']",36.0,acceptable,COCCN(C)S(=O)(=O)N(C)c1ccccc1
10771,x1329_0AS4-D68EV3CPROA-x0789_0AS2,[H]C(=O)[C@@]1(OC([H])([H])S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])[H])OC([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H],,none_permissive,-4.222617386314816,-2.587977133063806,1.6346402532510098,0.3110172308721885,19.0,1.0,57.9155969619751,"['x1329_0AS4', 'D68EV3CPROA-x0789_0AS2']",[],0.21113086931574082,"['x1329_0AS4', 'D68EV3CPROA-x0789_0AS2']",43.0,acceptable,CC1CCCCN1S(=O)(=O)COC1(C=O)OCCC1C
17362,x2021_0AS4-D68EV3CPROA-x1052_1AS4,[H]C1=C(OC([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])N(C([H])([H])[H])S(=O)(=O)N([H])[H])O1,,none_permissive,-2.9553866201638574,-2.530907305598546,0.4244793145653114,0.6159212188753103,14.0,0.0,90.4115903377533,"['x2021_0AS4', 'D68EV3CPROA-x1052_1AS4']",[],0.21109904429741838,"['x2021_0AS4', 'D68EV3CPROA-x1052_1AS4']",29.0,acceptable,COC1=COC(CN(C)S(N)(=O)=O)C1
15955,x1919_0AS12-D68EV3CPROA-x1285_0BS1,[H]c1sc([H])c(C([H])([H])O[C@]([H])(C([H])([H])[H])C([H])([H])OC([H])([H])C([H])([H])S(=O)(=O)N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1[H],,none_permissive,-8.110149129543942,-7.406245729345515,0.7039034001984275,0.37518969495620597,23.0,1.0,77.39070963859558,"['x1919_0AS12', 'D68EV3CPROA-x1285_0BS1']",[],0.3379228803976642,"['x1919_0AS12', 'D68EV3CPROA-x1285_0BS1']",27.0,acceptable,CC(COCCS(=O)(=O)NCc1ccccc1)OCc1ccsc1
20964,x2149_0AS6-D68EV3CPROA-x1140_0AS1,[H]N1C(=O)[C@@]([H])(N([H])C([H])([H])[H])[C@]([H])(ON=[S@](=O)(N([H])[H])C([H])([H])C([H])([H])[H])C1([H])[H],,none_permissive,-4.9264240301892865,-4.609513345143807,0.31691068504547987,0.5399643611867367,14.0,1.0,50.40316724777222,"['x2149_0AS6', 'D68EV3CPROA-x1140_0AS1']",[],0.32842826867928576,"['x2149_0AS6', 'D68EV3CPROA-x1140_0AS1']",43.0,acceptable,CCS(N)(=O)=NOC1CNC(=O)C1NC
