,name,smiles,error,mode,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,LE,hit_names,percent_hybrid,outcome,simple_smiles
13429,x1919_0AS4-D68EV3CPROA-x0712_0AS1,,DistanceError: 24.02 Å,none_permissive,,,,,12.0,0.0,0.008095026016235352,"['x1919_0AS4', 'D68EV3CPROA-x0712_0AS1']",[],,"['x1919_0AS4', 'D68EV3CPROA-x0712_0AS1']",17.0,too distant,CCCOCCS(N)(=O)=O.[6CH3]N
5986,x0130_0AS3-D68EV3CPROA-x0253_0BS4,,DistanceError: 16.58 Å,none_permissive,,,,,13.0,0.0,0.024865150451660156,"['x0130_0AS3', 'D68EV3CPROA-x0253_0BS4']",[],,"['x0130_0AS3', 'D68EV3CPROA-x0253_0BS4']",39.0,too distant,CCC(CC)C(N)=O.CCNC[6CH3]
3533,x2135_0A-D68EV3CPROA-x1592_0BS2,,RecursionError: maximum recursion depth exceeded while calling a Python object,none_permissive,,,,,8.0,0.0,12.623818635940552,"['x2135_0A', 'D68EV3CPROA-x1592_0BS2']",[],,"['x2135_0A', 'D68EV3CPROA-x1592_0BS2']",25.0,crashed,NC(=O)[3CH]1[5CH2][5CH2]1.[6CH3]O
819,x0130_0A-D68EV3CPROA-x1379_0A,,DistanceError: 26.80 Å,none_permissive,,,,,13.0,0.0,0.018424034118652344,"['x0130_0A', 'D68EV3CPROA-x1379_0A']",[],,"['x0130_0A', 'D68EV3CPROA-x1379_0A']",47.0,too distant,
6804,x1071_0AS1-D68EV3CPROA-x1599_0BS2,,DistanceError: 19.41 Å,none_permissive,,,,,6.0,0.0,0.014420509338378906,"['x1071_0AS1', 'D68EV3CPROA-x1599_0BS2']",[],,"['x1071_0AS1', 'D68EV3CPROA-x1599_0BS2']",17.0,too distant,N[6CH2]C(=O)O.[6CH4]
10756,x1329_0AS4-D68EV3CPROA-x0712_0AS1,,DistanceError: 21.49 Å,none_permissive,,,,,8.0,0.0,0.01787590980529785,"['x1329_0AS4', 'D68EV3CPROA-x0712_0AS1']",[],,"['x1329_0AS4', 'D68EV3CPROA-x0712_0AS1']",25.0,too distant,C[6CH2]S(C)(=O)=O.[6CH3]N
17600,x2021_0AS5-D68EV3CPROA-x0789_0A,[H]c1nnsc1N([H])C(=O)[C@@]1(C([H])([H])N=[S@](=O)(N([H])[H])N([H])C([H])([H])[H])OC([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H],,none_permissive,-5.079502051540624,-2.5132564798184354,2.5662455717221886,0.9673395482253225,20.0,1.0,81.41212034225464,"['x2021_0AS5', 'D68EV3CPROA-x0789_0A']",[],0.24188105007336305,"['x2021_0AS5', 'D68EV3CPROA-x0789_0A']",30.0,acceptable,CNS(N)(=O)=NCC1(C(=O)Nc2cnns2)OCCC1C
7443,x1071_0AS4-D68EV3CPROA-x0153_0B,,DistanceError: 22.85 Å,none_permissive,,,,,10.0,0.0,0.05100274085998535,"['x1071_0AS4', 'D68EV3CPROA-x0153_0B']",[],,"['x1071_0AS4', 'D68EV3CPROA-x0153_0B']",40.0,too distant,CC([6CH3])=O.CC[5CH2]CNC
14399,x1919_0AS7-D68EV3CPROA-x1056_0BS6,,DistanceError: 17.06 Å,none_permissive,,,,,8.0,0.0,0.06041431427001953,"['x1919_0AS7', 'D68EV3CPROA-x1056_0BS6']",[],,"['x1919_0AS7', 'D68EV3CPROA-x1056_0BS6']",50.0,too distant,[5CH3][6CH2]CN.[6CH3]NC=O
4175,x0771_0AS1-D68EV3CPROA-x0147_0A,,DistanceError: 7.85 Å,none_permissive,,,,,6.0,0.0,0.1846141815185547,"['x0771_0AS1', 'D68EV3CPROA-x0147_0A']",[],,"['x0771_0AS1', 'D68EV3CPROA-x0147_0A']",34.0,too distant,
5865,x0130_0AS2-D68EV3CPROA-x1315_0B,,DistanceError: 19.37 Å,none_permissive,,,,,5.0,0.0,0.020767927169799805,"['x0130_0AS2', 'D68EV3CPROA-x1315_0B']",[],,"['x0130_0AS2', 'D68EV3CPROA-x1315_0B']",40.0,too distant,
12497,x1919_0AS1-D68EV3CPROA-x0170_0A,,DistanceError: 15.93 Å,none_permissive,,,,,8.0,0.0,0.037153005599975586,"['x1919_0AS1', 'D68EV3CPROA-x0170_0A']",[],,"['x1919_0AS1', 'D68EV3CPROA-x0170_0A']",50.0,too distant,
1461,x1084_0A-D68EV3CPROA-x1604_0A,[H]Oc1c([H])c2c(c([H])c1OC([H])([H])C([H])([H])N=[S@@](=O)(N([H])c1c([H])c([H])c(C([H])([H])N([H])[H])c([H])c1[H])C([H])([H])[H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])O2,,none_permissive,-9.510590399034996,-9.069329234791672,0.4412611642433232,0.47174477175288443,28.0,2.0,129.7075936794281,"['x1084_0A', 'D68EV3CPROA-x1604_0A']",[],0.3170196799678332,"['x1084_0A', 'D68EV3CPROA-x1604_0A']",47.0,acceptable,CC1(C)OC(=O)c2cc(OCCN=S(C)(=O)Nc3ccc(CN)cc3)c(O)cc2O1
12946,x1919_0AS2-D68EV3CPROA-x1140_0AS2,[H]c1c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c2c1OC([H])([H])O2,,none_permissive,-3.771015677870233,-4.240239936807287,-0.46922425893705344,0.27062141337326306,16.0,0.0,87.67820930480957,"['x1919_0AS2', 'D68EV3CPROA-x1140_0AS2']",[],0.23568847986688957,"['x1919_0AS2', 'D68EV3CPROA-x1140_0AS2']",0.0,equally sized,CCS(=O)(=O)NCc1ccc2c(c1)OCO2
721,x0130_0A-D68EV3CPROA-x1052_0A,,DistanceError: 18.24 Å,none_permissive,,,,,16.0,0.0,0.061745405197143555,"['x0130_0A', 'D68EV3CPROA-x1052_0A']",[],,"['x0130_0A', 'D68EV3CPROA-x1052_0A']",38.0,too distant,
16409,x2021_0AS1-D68EV3CPROA-x0771_0AS1,[H]OC([H])(N([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])[H])C1([H])[H],,none_permissive,-6.575555611045994,-5.941425620920292,0.6341299901257024,0.5714299005510859,13.0,3.0,73.7467393875122,"['x2021_0AS1', 'D68EV3CPROA-x0771_0AS1']",[],0.4109722256903746,"['x2021_0AS1', 'D68EV3CPROA-x0771_0AS1']",31.0,acceptable,COCCOCCC1CCCC(C(N)O)C1
18156,x2021_0AS7-D68EV3CPROA-x0232_1B,,DistanceError: 9.16 Å,none_permissive,,,,,17.0,0.0,0.043576717376708984,"['x2021_0AS7', 'D68EV3CPROA-x0232_1B']",[],,"['x2021_0AS7', 'D68EV3CPROA-x0232_1B']",36.0,too distant,
16049,x1919_0AS13-D68EV3CPROA-x0128_0A,,DistanceError: 17.67 Å,none_permissive,,,,,7.0,0.0,0.01025700569152832,"['x1919_0AS13', 'D68EV3CPROA-x0128_0A']",[],,"['x1919_0AS13', 'D68EV3CPROA-x0128_0A']",15.0,too distant,C[6CH2]NC(C)=O.[5CH4]
4528,x0771_0AS2-D68EV3CPROA-x0771_0A,,DistanceError: 11.33 Å,none_permissive,,,,,6.0,0.0,0.03715109825134277,"['x0771_0AS2', 'D68EV3CPROA-x0771_0A']",[],,"['x0771_0AS2', 'D68EV3CPROA-x0771_0A']",17.0,too distant,[5CH3][6CH2]C(N)O.[5CH4]
4900,x0771_1AS1-D68EV3CPROA-x1068_0BS2,,DistanceError: 24.67 Å,none_permissive,,,,,8.0,0.0,0.031098365783691406,"['x0771_1AS1', 'D68EV3CPROA-x1068_0BS2']",[],,"['x0771_1AS1', 'D68EV3CPROA-x1068_0BS2']",50.0,too distant,[5CH3]C(=O)O.[6CH3]C(N)=O
