,crystal_name,RealCrystalName,smiles,new_smiles,alternate_name,site_name,pdb_entry
0,D68EV3CPROA-x0102_0B,D68EV3CPROA-x0102,Cc1ccsc1C(=O)O,Cc1ccsc1C(=O)O,Z104474228,5,None
1,D68EV3CPROA-x0102_1B,D68EV3CPROA-x0102,Cc1ccsc1C(=O)O,Cc1ccsc1C(=O)O,Z104474228,2,None
2,D68EV3CPROA-x0105_0A,D68EV3CPROA-x0105,COc1cc(cc(OC)c1OC)C(=O)O,COc1cc(cc(OC)c1OC)C(=O)O,Z104475702,5,None
3,D68EV3CPROA-x0117_0A,D68EV3CPROA-x0117,O=S(=O)(NC1CCCC1)C2CCOCC2,O=S(=O)(NC1CCCC1)C2CCOCC2,Z1082839290,5,None
4,D68EV3CPROA-x0121_0B,D68EV3CPROA-x0121,O=C(NC1CCC(=O)NC1)c2cscn2,O=C(NC1CCC(=O)NC1)c2cscn2,Z1102357527,2,None
5,D68EV3CPROA-x0128_0A,D68EV3CPROA-x0128,CC(=O)Nc1cnccc1C,CC(=O)Nc1cnccc1C,Z1129283193,3,None
6,D68EV3CPROA-x0130_0B,D68EV3CPROA-x0130,CCNCc1cccc2[nH]ccc12,CCNCc1cccc2[nH]ccc12,Z1137725943,2,None
7,D68EV3CPROA-x0133_0A,D68EV3CPROA-x0133,Cc1ccc(CS(=O)(=O)N)cc1F,Cc1ccc(CS(=O)(=O)N)cc1F,Z1143279263,4,None
8,D68EV3CPROA-x0133_0B,D68EV3CPROA-x0133,Cc1ccc(CS(=O)(=O)N)cc1F,Cc1ccc(CS(=O)(=O)N)cc1F,Z1143279263,4,None
9,D68EV3CPROA-x0133_1B,D68EV3CPROA-x0133,Cc1ccc(CS(=O)(=O)N)cc1F,Cc1ccc(CS(=O)(=O)N)cc1F,Z1143279263,4,None
10,D68EV3CPROA-x0147_0A,D68EV3CPROA-x0147,c1nnc2cnccn12,c1nnc2cnccn12,Z1182328459,1,None
11,D68EV3CPROA-x0153_0B,D68EV3CPROA-x0153,CCn1ccc(CNC)n1,CCn1ccc(CNC)n1,Z1198162455,3,None
12,D68EV3CPROA-x0157_0B,D68EV3CPROA-x0157,Oc1cc(O)n2ccnc2n1,Oc1cc(O)n2ccnc2n1,Z1198233191,3,None
13,D68EV3CPROA-x0157_1B,D68EV3CPROA-x0157,Oc1cc(O)n2ccnc2n1,Oc1cc(O)n2ccnc2n1,Z1198233191,2,None
14,D68EV3CPROA-x0170_0A,D68EV3CPROA-x0170,N#Cc1cncc2OCCNc12,N#Cc1cncc2OCCNc12,Z1201628402,3,None
15,D68EV3CPROA-x0174_0A,D68EV3CPROA-x0174,CN(C(=O)C)c1cccnc1,CN(C(=O)C)c1cccnc1,Z1203252645,5,None
16,D68EV3CPROA-x0176_0A,D68EV3CPROA-x0176,NCc1ccn2ccnc2c1,NCc1ccn2ccnc2c1,Z1203586731,3,None
17,D68EV3CPROA-x0188_0B,D68EV3CPROA-x0188,CC(=O)NCCc1c[nH]c2ccc(F)cc12,CC(=O)NCCc1c[nH]c2ccc(F)cc12,Z1220452176,2,None
18,D68EV3CPROA-x0191_0A,D68EV3CPROA-x0191,OC(=O)c1ccnn1C2CCOCC2,OC(=O)c1ccnn1C2CCOCC2,Z1230013388,5,None
19,D68EV3CPROA-x0228_0A,D68EV3CPROA-x0228,Cl.O=C(N1CCCC1)c2cn[nH]c2,Cl.O=C(N1CCCC1)c2cn[nH]c2,Z1266933824,4,None
20,D68EV3CPROA-x0232_0B,D68EV3CPROA-x0232,NS(=O)(=O)c1ccc2ncsc2c1,NS(=O)(=O)c1ccc2ncsc2c1,Z1269184613,4,None
21,D68EV3CPROA-x0232_1B,D68EV3CPROA-x0232,NS(=O)(=O)c1ccc2ncsc2c1,NS(=O)(=O)c1ccc2ncsc2c1,Z1269184613,1,None
22,D68EV3CPROA-x0243_0B,D68EV3CPROA-x0243,Cc1cc(F)cc(c1)S(=O)(=O)N,Cc1cc(F)cc(c1)S(=O)(=O)N,Z1295863442,3,None
23,D68EV3CPROA-x0253_0B,D68EV3CPROA-x0253,CCC(CC)C(=O)Nc1ccccc1O,CCC(CC)C(=O)Nc1ccccc1O,Z1331830630,2,None
24,D68EV3CPROA-x0688_0B,D68EV3CPROA-x0688,OC1CN(C1)C(c2ccccc2)c3ccccc3,OC1CN(C1)C(c2ccccc2)c3ccccc3,Z1342868616,2,None
