SMILES,TITLE,id,smiles,IUPAC Name,CAS,URL,ROCS_ShapeQuery,ROCS_TanimotoCombo,ROCS_ShapeTanimoto,ROCS_ColorTanimoto,ROCS_RefTversky,ROCS_RefColorTversky,ROCS_RefTverskyCombo,ROCS_FitTversky,ROCS_FitColorTversky,ROCS_FitTverskyCombo,ROCS_ColorScore,ROCS_Overlap,ROCS_Rank
c1c(cc(c(c1CCO)O)Br)Cl,untitled-dbase-1143_22,EN300-1922585,OCCC=1C=C(Cl)C=C(Br)C1O,2-bromo-4-chloro-6-(2-hydroxyethyl)phenol,1260169-11-6,https://www.enaminestore.com/catalog/EN300-1922585,_x1604L0AP1_x0771L0AP1,1.029 ,0.450 ,0.579 ,0.412 ,0.569 ,0.981 ,1.257 ,1.033 ,2.290 ,-6.492,697.373,1                   
C[C@H](CCc1cc(cc(c1O)Br)Cl)O,untitled-dbase-663_26,EN300-1922586,C[C@@H](O)CCC=1C=C(Cl)C=C(Br)C1O,2-bromo-4-chloro-6-[(3R)-3-hydroxybutyl]phenol,2227695-21-6,https://www.enaminestore.com/catalog/EN300-1922586,_x1604L0AP1_x0771L0AP1,1.018 ,0.562 ,0.456 ,0.494 ,0.485 ,0.979 ,1.327 ,0.882 ,2.209 ,-5.542,837.283,2                   
C[C@H](Cc1cc(cc(c1O)Br)Cl)O,untitled-dbase-828_5,EN300-1922603,C[C@@H](O)CC=1C=C(Cl)C=C(Br)C1O,2-bromo-4-chloro-6-[(2R)-2-hydroxypropyl]phenol,2227696-46-8,https://www.enaminestore.com/catalog/EN300-1922603,_x1604L0AP1_x0771L0AP1,1.012 ,0.439 ,0.573 ,0.412 ,0.565 ,0.977 ,1.175 ,1.026 ,2.200 ,-6.447,698.105,3                   
c1c(cc(c(c1CCCO)O)Br)Cl,untitled-dbase-224_63,EN300-1913192,OCCCC=1C=C(Cl)C=C(Br)C1O,2-bromo-4-chloro-6-(3-hydroxypropyl)phenol,1000536-63-9,https://www.enaminestore.com/catalog/EN300-1913192,_x1604L0AP1_x0771L0AP1,1.005 ,0.520 ,0.484 ,0.461 ,0.506 ,0.967 ,1.326 ,0.919 ,2.244 ,-5.774,781.656,4                   
c1c(cc(c(c1/C=C/CO)O)Br)Cl,untitled-dbase-472_109,EN300-1912013,OCC=CC=1C=C(Cl)C=C(Br)C1O,2-bromo-4-chloro-6-(3-hydroxyprop-1-en-1-yl)phenol,1216374-66-1,https://www.enaminestore.com/catalog/EN300-1912013,_x1604L0AP1_x0771L0AP1,1.002 ,0.549 ,0.453 ,0.479 ,0.484 ,0.963 ,1.364 ,0.879 ,2.242 ,-5.522,811.299,5                   
c1cc(c(c(c1)Br)O)CCO,untitled-dbase-1272_22,EN300-1923122,OCCC=1C=CC=C(Br)C1O,2-bromo-6-(2-hydroxyethyl)phenol,1523358-30-6,https://www.enaminestore.com/catalog/EN300-1923122,_x1604L0AP1_x0771L0AP1,1.001 ,0.422 ,0.579 ,0.388 ,0.569 ,0.957 ,1.260 ,1.033 ,2.293 ,-6.493,656.361,6                   
c1c(cc(c(c1C(CO)(F)F)O)Br)Cl,untitled-dbase-1009_134,EN300-1941361,OCC(F)(F)C=1C=C(Cl)C=C(Br)C1O,"2-bromo-4-chloro-6-(1,1-difluoro-2-hydroxyethyl)phenol",2229444-74-8,https://www.enaminestore.com/catalog/EN300-1941361,_x1604L0AP1_x0771L0AP1,1.000 ,0.446 ,0.554 ,0.428 ,0.553 ,0.981 ,1.106 ,1.000 ,2.106 ,-6.311,726.137,7                   
C[C@@H](CCc1cc(cc(c1O)Br)Cl)O,untitled-dbase-959_23,EN300-1922581,CC(O)CCC=1C=C(Cl)C=C(Br)C1O,2-bromo-4-chloro-6-(3-hydroxybutyl)phenol,2229631-79-0,https://www.enaminestore.com/catalog/EN300-1922581,_x1604L0AP1_x0771L0AP1,0.999 ,0.524 ,0.475 ,0.471 ,0.499 ,0.971 ,1.272 ,0.907 ,2.179 ,-5.700,799.621,8                   
C[C@@H](CCc1cc(cc(c1O)Br)Cl)O,untitled-dbase-1153_23,EN300-1922584,C[C@H](O)CCC=1C=C(Cl)C=C(Br)C1O,2-bromo-4-chloro-6-[(3S)-3-hydroxybutyl]phenol,2227853-96-3,https://www.enaminestore.com/catalog/EN300-1922584,_x1604L0AP1_x0771L0AP1,0.999 ,0.524 ,0.475 ,0.471 ,0.499 ,0.971 ,1.272 ,0.907 ,2.179 ,-5.700,799.621,9                   
c1cc(c(c(c1)Br)O)C(CCO)(F)F,untitled-dbase-1168_40,EN300-1963219,OCCC(F)(F)C=1C=CC=C(Br)C1O,"2-bromo-6-(1,1-difluoro-3-hydroxypropyl)phenol",2229265-08-9,https://www.enaminestore.com/catalog/EN300-1963219,_x1604L0AP1_x0771L0AP1,0.996 ,0.535 ,0.461 ,0.483 ,0.490 ,0.973 ,1.251 ,0.889 ,2.140 ,-5.588,820.372,10                  
c1c(cc(c(c1CCCC=O)O)Br)Cl,untitled-dbase-490_97,EN300-1922933,OC=1C(Br)=CC(Cl)=CC1CCCC=O,4-(3-bromo-5-chloro-2-hydroxyphenyl)butanal,2229144-05-0,https://www.enaminestore.com/catalog/EN300-1922933,_x1604L0AP1_x0771L0AP1,0.995 ,0.586 ,0.409 ,0.507 ,0.426 ,0.933 ,1.364 ,0.908 ,2.272 ,-4.844,860.136,11                  
C[C@@H](CO)NCc1cccc(c1O)Br,untitled-dbase-1922_484,EN300-167853,CC(CO)NCC=1C=CC=C(Br)C1O,2-bromo-6-{[(1-hydroxypropan-2-yl)amino]methyl}phenol,1249949-94-7,https://www.enaminestore.com/catalog/EN300-167853,_x1604L0AP1_x0771L0AP1,0.994 ,0.577 ,0.417 ,0.504 ,0.503 ,1.007 ,1.337 ,0.708 ,2.045 ,-5.795,854.383,12                  
CC(C)(c1cc(cc(c1O)Br)Cl)ON,untitled-dbase-445_31,EN300-1922573,CC(C)(ON)C=1C=C(Cl)C=C(Br)C1O,2-[2-(aminooxy)propan-2-yl]-6-bromo-4-chlorophenol,2229471-95-6,https://www.enaminestore.com/catalog/EN300-1922573,_x1604L0AP1_x0771L0AP1,0.990 ,0.577 ,0.413 ,0.505 ,0.429 ,0.935 ,1.327 ,0.914 ,2.241 ,-4.879,857.767,13                  
C[C@@H](Cc1cc(cc(c1O)Br)Cl)O,untitled-dbase-706_10,EN300-1922600,C[C@H](O)CC=1C=C(Cl)C=C(Br)C1O,2-bromo-4-chloro-6-[(2S)-2-hydroxypropyl]phenol,2227900-00-5,https://www.enaminestore.com/catalog/EN300-1922600,_x1604L0AP1_x0771L0AP1,0.988 ,0.424 ,0.564 ,0.402 ,0.559 ,0.961 ,1.147 ,1.015 ,2.162 ,-6.380,681.601,14                  
C[C@@H](Cc1cc(cc(c1O)Br)Cl)O,untitled-dbase-1339_10,EN300-1922588,CC(O)CC=1C=C(Cl)C=C(Br)C1O,2-bromo-4-chloro-6-(2-hydroxypropyl)phenol,2228166-53-6,https://www.enaminestore.com/catalog/EN300-1922588,_x1604L0AP1_x0771L0AP1,0.988 ,0.424 ,0.564 ,0.402 ,0.559 ,0.961 ,1.147 ,1.015 ,2.162 ,-6.380,681.601,15                  
c1c(c(cc(c1O)Br)F)C(F)(F)F,untitled-dbase-2004_0,EN300-7432603,OC=1C=C(C(F)=CC1Br)C(F)(F)F,2-bromo-4-fluoro-5-(trifluoromethyl)phenol,1805498-61-6,https://www.enaminestore.com/catalog/EN300-7432603,_x1604L0AP1_x0771L0AP1,0.982 ,0.532 ,0.451 ,0.476 ,0.431 ,0.907 ,1.280 ,1.112 ,2.392 ,-4.877,807.917,16                  
